20.9,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,62.1,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.74084507243732,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,61.084330983229144,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,21.600000381469727,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,72.0999984741211,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.700000762939453,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,59.5,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>
21.1,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,67.6,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.741476276846868,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,61.0957820684504,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,21.600000381469727,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,72.0999984741211,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.700000762939453,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,59.5,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>
21.3,10/12/2018 17:19:17,61.5,10/12/2018 17:19:17,11.474999972752162,10/12/2018 17:19:17,34.999999727521626,10/12/2018 17:19:17,21.799999237060547,10/12/2018 17:19:17,71.9000015258789,10/12/2018 17:19:17,21.100000381469727,10/12/2018 17:19:17,60.20000076293945,10/12/2018 17:19:17
20.7,10/12/2018 17:19:21,61.1,10/12/2018 17:19:21,11.793103448275861,10/12/2018 17:19:21,35.899999684300916,10/12/2018 17:19:21,21.799999237060547,10/12/2018 17:19:21,71.9000015258789,10/12/2018 17:19:21,20.700000762939453,10/12/2018 17:19:21,60.20000076293945,10/12/2018 17:19:21
21.6,10/12/2018 17:19:26,62.4,10/12/2018 17:19:26,12.120000012715657,10/12/2018 17:19:26,36.78333307902018,10/12/2018 17:19:26,21.799999237060547,10/12/2018 17:19:26,71.9000015258789,10/12/2018 17:19:26,20.700000762939453,10/12/2018 17:19:26,60.20000076293945,10/12/2018 17:19:26
21.4,10/12/2018 17:19:34,57.7,10/12/2018 17:19:34,12.419354838709678,10/12/2018 17:19:34,37.45806429463048,10/12/2018 17:19:34,21.799999237060547,10/12/2018 17:19:34,71.9000015258789,10/12/2018 17:19:34,20.700000762939453,10/12/2018 17:19:34,57.70000076293945,10/12/2018 17:19:34
22.3,10/12/2018 17:27:55,70.0,10/12/2018 17:27:55,0.6968749761581421,10/12/2018 17:27:55,2.1875,10/12/2018 17:27:55,22.299999237060547,10/12/2018 17:27:55,70.0,10/12/2018 17:27:55,22.299999237060547,10/12/2018 17:27:55,70.0,10/12/2018 17:27:55
21.5,10/12/2018 17:28:01,77.9,10/12/2018 17:28:01,1.3272727041533499,10/12/2018 17:28:01,4.4818182280569365,10/12/2018 17:28:01,22.299999237060547,10/12/2018 17:28:01,77.9000015258789,10/12/2018 17:28:01,21.5,10/12/2018 17:28:01,70.0,10/12/2018 17:28:01
21.6,10/12/2018 17:28:12,64.5,10/12/2018 17:28:12,1.923529400545008,10/12/2018 17:28:12,6.247058868408203,10/12/2018 17:28:12,22.299999237060547,10/12/2018 17:28:12,77.9000015258789,10/12/2018 17:28:12,21.5,10/12/2018 17:28:12,64.5,10/12/2018 17:28:12
21.9,10/12/2018 17:28:12,66.9,10/12/2018 17:28:12,2.4942856924874444,10/12/2018 17:28:12,7.980000087193081,10/12/2018 17:28:12,22.299999237060547,10/12/2018 17:28:12,77.9000015258789,10/12/2018 17:28:12,21.5,10/12/2018 17:28:12,64.5,10/12/2018 17:28:12
20.5,10/12/2018 17:28:16,58.6,10/12/2018 17:28:16,2.994444423251682,10/12/2018 17:28:16,9.386111153496635,10/12/2018 17:28:16,22.299999237060547,10/12/2018 17:28:16,77.9000015258789,10/12/2018 17:28:16,20.5,10/12/2018 17:28:16,58.599998474121094,10/12/2018 17:28:16
21.6,10/12/2018 17:28:21,64.8,10/12/2018 17:28:21,3.4972972869873047,10/12/2018 17:28:21,10.883783907503695,10/12/2018 17:28:21,22.299999237060547,10/12/2018 17:28:21,77.9000015258789,10/12/2018 17:28:21,20.5,10/12/2018 17:28:21,58.599998474121094,10/12/2018 17:28:21
